elo1,elo2
1563.058,1460.779
1462.391,1528.699
1543.025,1611.174
1446.367,1463.61
1469.343,1358.247
1362.445,1489.108
1639.029,1573.737
1566.738,1565.142
1425.249,1551.513
1278.262,1648.99
1592.35,1535.267
1557.034,1429.623
1450.101,1477.802
1416.472,1556.625
1490.078,1544.723
1450.416,1597.165
1532.978,1614.47
1450.009,1536.412
1518.795,1480.724
1485.772,1462.275
1657.288,1583.119
1577.645,1436.685
1554.234,1567.985
1418.672,1545.084
1341.817,1457.967
1547.608,1370.829
1599.84,1596.515
1616.251,1459.968
1496.771,1582.534
1464.463,1269.965
1465.628,1538.03
1596.131,1563.565
1493.488,1671.768
1519.669,1622.143
1422.842,1587.909
1543.703,1490.314
1259.406,1400.19
1483.989,1475.021
1455.816,1526.088
1313.72,1628.707
1542.855,1486.065
1568.639,1454.559
1426.421,1443.567
1447.512,1574.212
1588.991,1495.595
1538.2,1529.6
1600.163,1472.265
1538.052,1567.375
1517.829,1472.448
1478.728,1464.47
1350.485,1425.913
1461.669,1497.82
1373.786,1459.497
1519.561,1508.351
1530.178,1565.28
1540.203,1511.536
1470.022,1446.637
1617.19,1489.322
1609.793,1545.551
1551.919,1480.494
1484.727,1578.146
1522.189,1521.408
1458.735,1348.555
1481.877,1521.912
1503.938,1585.104
1515.881,1601.488
1445.265,1531.543
1597.097,1326.495
1449.902,1498.361
1577.199,1614.247
1478.995,1529.828
1458.181,1434.781
1505.723,1497.934
1458.521,1570.489
1482.8,1428.604
1556.007,1600.631
1420.555,1548.203
1466.849,1415.927
1604.352,1455.979
1518.553,1426.85
1525.35,1476.406
1386.735,1538.116
1478.307,1552.843
1532.336,1322.961
1536.94,1596.574
1466.112,1594.871
1560.797,1579.254
1611.75,1475.781
1531.389,1455.087
1501.164,1437.46
1544.268,1311.908
1612.957,1574.459
1565.592,1486.699
1410.24,1507.076
1456.944,1437.37
1406.996,1444.57
1543.389,1544.813
1458.704,1616.413
1591.55,1417.774
1576.064,1520.557
1448.58,1612.369
1431.789,1566.727
1412.685,1426.988
1463.109,1579.276
1473.015,1481.222
1536.067,1552.472
1303.705,1631.336
1586.354,1481.629
1442.596,1474.596
1485.878,1424.578
1556.08,1495.994
1510.388,1457.403
1579.124,1485.527
1586.232,1624.422
1500.597,1552.134
1494.422,1490.948
1581.841,1603.393
1476.843,1556.707
1506.025,1427.19
