0,0,Round 1,Round 1,0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
54,DET,Rickey Paulding,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,HOU,Luis Flores\florelu01,Manhattan College,1,16,77,35,3,11,0.483,0.5,1,4.8,2.2,0.2,0.7,0,-0.02,-9.6,-0.1
56,LAL,Marcus Douthit,Providence College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,SAS,Sergei Karaulov\karause01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,MIN,Blake Stepp,Gonzaga University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,IND,Rashad Wright,University of Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CLE,LeBron James\jamesle01,0,16,1185,45779,32162,8783,8535,0.504,0.344,0.737,38.6,27.1,7.4,7.2,225.1,0.236,9.1,128.5
2,DET,Darko Milicic\milicda01,0,10,468,8638,2813,1971,405,0.46,0,0.574,18.5,6,4.2,0.9,7.1,0.04,-1.6,0.8
3,DEN,Carmelo Anthony\anthoca01,Syracuse University,16,1064,38129,25551,6938,3165,0.449,0.347,0.811,35.8,24,6.5,3,101,0.127,0.9,28
4,TOR,Chris Bosh\boshch01,Georgia Institute of Technology,13,893,31936,17189,7592,1795,0.494,0.335,0.799,35.8,19.2,8.5,2,106,0.159,1.4,27.5
5,MIA,Dwyane Wade\wadedw01,Marquette University,16,1031,35144,22772,4831,5612,0.481,0.289,0.765,34.1,22.1,4.7,5.4,119.8,0.164,4.6,58.1
6,LAC,Chris Kaman\kamanch01,Central Michigan University,13,735,19642,8208,5582,921,0.489,0.042,0.743,26.7,11.2,7.6,1.3,24.6,0.06,-2,0
7,CHI,Kirk Hinrich\hinriki01,University of Kansas,13,879,27015,9594,2576,4245,0.411,0.375,0.8,30.7,10.9,2.9,4.8,52.5,0.093,0.2,14.7
8,MIL,T.J. Ford\fordtj01,University of Texas at Austin,8,429,11882,4797,1331,2495,0.433,0.289,0.815,27.7,11.2,3.1,5.8,16.9,0.068,-0.8,3.6
9,NYK,Mike Sweetney\sweetmi01,Georgetown University,4,233,3610,1516,1045,145,0.485,0,0.689,15.5,6.5,4.5,0.6,7.8,0.103,-2.1,-0.1
10,WAS,Jarvis Hayes\hayesja01,University of Georgia,7,427,9898,3553,1330,459,0.415,0.356,0.798,23.2,8.3,3.1,1.1,10.2,0.049,-2.9,-2.2
11,GSW,Mickael Pietrus\pietrmi01,0,10,557,11950,4629,1723,445,0.425,0.355,0.665,21.5,8.3,3.1,0.8,19.7,0.079,-0.9,3.4
